feature,spearman_r,p_value
mean_brightness,0.01649691926828353,0.26558746053498494
mean_saturation,-0.0835434852287323,1.6293281689147937e-08
mean_R,-0.002626195001012255,0.8593395420991284
mean_G,0.07196886733129038,1.157726821448645e-06
mean_B,-0.036595110110485135,0.013501799530253216
blood_coverage_pct,-0.4496164888005751,1.2246325188064374e-225
